stationid,yeardata,jday,timedata,watertemp1_avg,watertemp1Flag,sp_cond1_avg,salinity1_avg,salinity1Flag,dis_oxy1_avg,dis_oxy1Flag,dis_oxy2_avg,dis_oxy2Flag,depth1_avg,depth1Flag,comments
122,2019,217,1730,30.8600006,3,37.8600006,23.8700008,3,12.3000002,3,0,3,1.42700005,3,
122,2019,217,1800,30.7199993,3,42.2700005,26.9899998,3,12.1999998,3,0,3,1.38300002,3,
122,2019,217,1830,30.7600002,3,40.2599983,25.5599995,3,12.3000002,3,0,3,1.403,3,
122,2019,217,1900,30.3299999,3,35.8699989,22.5,3,12.1999998,3,0,3,1.41499996,3,
122,2019,217,1930,30.3899994,3,37.0400009,23.3099995,3,12,3,0,3,1.41700006,3,
122,2019,217,2000,30.3700008,3,38.0800018,24.0400009,3,12.1999998,3,0,3,1.41299999,3,
122,2019,217,2030,30.5900002,3,40.9900017,26.0799999,3,12.1999998,3,0,3,1.41799998,3,
122,2019,217,2100,30.25,3,36.4599991,22.9099998,3,12,3,0,3,1.41700006,3,
122,2019,217,2130,30.4200001,3,38.6300011,24.4200001,3,12.1999998,3,0,3,1.42200005,3,
122,2019,217,2200,30.4400005,3,38.0900002,24.0400009,3,12.1999998,3,0,3,1.43700004,3,
122,2019,217,2230,30.3600006,3,38.7400017,24.5,3,12.1000004,3,0,3,1.42200005,3,
122,2019,217,2300,30.5,3,40.7299995,25.8999996,3,12,3,0,3,1.44200003,3,
122,2019,217,2330,30.5400009,3,41.5699997,26.4899998,3,12.1000004,3,0,3,1.41900003,3,
122,2019,217,2400,30.5400009,3,41.3400002,26.3299999,3,12.1000004,3,0,3,1.42499995,3,
122,2019,218,30,30.6599998,3,42.5,27.1599998,3,12.1000004,3,0,3,1.42200005,3,
122,2019,218,100,30.3199997,3,43.9399986,28.2000008,3,12.1000004,3,0,3,1.43900001,3,
122,2019,218,130,30.1900005,3,45.0900002,29.0200005,3,12.1000004,3,0,3,1.41799998,3,
122,2019,218,200,30.1399994,3,45.6199989,29.4099998,3,11.8999996,3,0,3,1.421,3,
122,2019,218,230,30.1200008,3,45.9700012,29.6599998,3,12,3,0,3,1.44000006,3,
122,2019,218,300,30.1100006,3,44.2599983,28.4300003,3,12,3,0,3,1.45500004,3,
122,2019,218,330,30.1000004,3,43.3600006,27.7900009,3,12,3,0,3,1.43299997,3,
122,2019,218,400,30.0499992,3,42.8600006,27.4300003,3,11.8999996,3,0,3,1.46099997,3,
122,2019,218,430,29.9799995,3,45.0800018,29.0200005,3,12,3,0,3,1.43599999,3,
122,2019,218,500,29.9699993,3,45.25,29.1499996,3,11.8000002,3,0,3,1.40799999,3,
122,2019,218,530,29.9099998,3,42.6899986,27.3099995,3,12,3,0,3,1.40699995,3,
122,2019,218,600,29.6499996,3,39.7799988,25.25,3,12.1000004,3,0,3,1.398,3,
122,2019,218,630,29.3600006,3,36.0800018,22.6700001,3,12.3000002,3,0,3,1.42400002,3,
122,2019,218,700,29.9300003,3,40.8499985,26,3,12.3999996,3,0,3,1.39300001,3,
122,2019,218,730,29.8600006,3,39.7900009,25.2600002,3,12.5,3,0,3,1.38999999,3,
122,2019,218,800,29.7900009,3,38.2799988,24.1900005,3,12.5,3,0,3,1.39499998,3,
122,2019,218,830,30,3,42,26.8199997,3,12.6000004,3,0,3,1.38999999,3,
122,2019,218,900,29.7399998,3,35.2700005,22.0900002,3,12.5,3,0,3,1.38800001,3,
122,2019,218,930,30.0499992,3,40.6699982,25.8700008,3,12.6999998,3,0,3,1.398,3,
122,2019,218,1000,29.9300003,3,37.4700012,23.6200008,3,12.6999998,3,0,3,1.40100002,3,
122,2019,218,1030,30.0900002,3,38.9900017,24.6800003,3,12.6000004,3,0,3,1.421,3,
122,2019,218,1100,29.9400005,3,34.2400017,21.3799992,3,12.6999998,3,0,3,1.39699996,3,
122,2019,218,1130,29.9300003,3,35.4199982,22.1900005,3,12.6000004,3,0,3,1.35800004,3,
122,2019,218,1200,30.25,3,34.2599983,21.3799992,3,12.6999998,3,0,3,1.38800001,3,
122,2019,218,1230,30.2600002,3,35.3100014,22.1100006,3,12.6000004,3,0,3,1.38,3,
122,2019,218,1300,30.4799995,3,37.7200012,23.7800007,3,12.6999998,3,0,3,1.37300003,3,
