stationid,yeardata,jday,timedata,watertemp1_avg,watertemp1Flag,sp_cond1_avg,salinity1_avg,salinity1Flag,dis_oxy1_avg,dis_oxy1Flag,dis_oxy2_avg,dis_oxy2Flag,depth1_avg,depth1Flag,turbidity1_avg,comments
628,2019,215,30,29.4500008,3,29.1800003,17.9300003,3,83.5999985,3,5.78000021,3,1.852,3,7.09000015,
628,2019,215,100,29.8799992,3,32.9900017,20.5200005,3,74.9800034,3,5.07000017,3,1.85899997,3,10.29,
628,2019,215,130,29.8999996,3,33.1800003,20.6399994,3,70.7300034,3,4.78000021,3,1.86899996,3,8.17000008,
628,2019,215,200,29.7999992,3,32.4900017,20.1700001,3,73.1699982,3,4.96999979,3,1.88300002,3,7.03999996,
628,2019,215,230,29.5599995,3,30.75,18.9899998,3,72.1200027,3,4.94999981,3,1.90100002,3,6.71999979,
628,2019,215,300,29.3299999,3,29.5400009,18.1800003,3,70.0899963,3,4.8499999,3,1.93400002,3,5.67000008,
628,2019,215,330,29.2299995,3,29.7700005,18.3299999,3,70.2799988,3,4.86999989,3,1.96500003,3,6.01999998,
628,2019,215,400,29.1700001,3,30.1399994,18.5799999,3,75.9100037,3,5.25,3,1.98599994,3,7.13000011,
628,2019,215,430,28.9599991,3,30.3500004,18.7299995,3,76.75,3,5.32999992,3,2.00999999,3,6.53000021,
628,2019,215,500,28.75,3,30.5599995,18.8799992,3,73.5500031,3,5.11999989,3,2.02399993,3,8.18999958,
628,2019,215,530,29.1499996,3,33.6100006,20.9599991,3,73.3899994,3,5.01000023,3,2.04299998,3,12.1000004,
628,2019,215,600,29.6599998,3,36.6300011,23.0499992,3,65.5800018,3,4.38999987,3,2.08999991,3,24.0699997,
628,2019,215,630,29.6399994,3,36.8600006,23.2000008,3,63.4000015,3,4.23999977,3,2.10899997,3,22.0300007,
628,2019,215,700,29.7199993,3,37.6599998,23.7600002,3,65.0100021,3,4.32999992,3,2.1400001,3,33.9500008,
628,2019,215,730,29.6800003,3,37.7000008,23.7900009,3,67.8499985,3,4.51999998,3,2.16799998,3,18.3999996,
628,2019,215,800,29.7199993,3,38.6899986,24.4799995,3,69.9899979,3,4.6500001,3,2.18000007,3,25.4300003,
628,2019,215,830,29.7199993,3,38.4199982,24.2900009,3,65.5500031,3,4.36000013,3,2.19799995,3,16.6200008,
628,2019,215,900,29.7099991,3,38.3899994,24.2700005,3,67.9199982,3,4.51000023,3,2.22199988,3,17.2000008,
628,2019,215,930,29.4899998,3,37.3699989,23.5699997,3,70.9199982,3,4.75,3,2.23799992,3,29.25,
628,2019,215,1000,29.2399998,3,34.5699997,21.6200008,3,76.3600006,3,5.19000006,3,2.25500011,3,14.8199997,
628,2019,215,1030,29.2000008,3,33.2799988,20.7299995,3,80.9000015,3,5.53000021,3,2.27900004,3,21.7900009,
628,2019,215,1100,29.3500004,3,30.5100002,18.8299999,3,93.6999969,3,6.44999981,3,2.28999996,3,10.25,
628,2019,215,1130,29.5499992,3,30.4899998,18.8199997,3,90.6999969,3,6.23000002,3,2.29399991,3,11.96,
628,2019,215,1200,29.75,3,30.3899994,18.7399998,3,94.4000015,3,6.46000004,3,2.28800011,3,12.5600004,
628,2019,215,1230,29.9699993,3,30.3400002,18.7099991,3,92.9000015,3,6.34000015,3,2.29399991,3,9.52999973,
628,2019,215,1300,30.1299992,3,30.2900009,18.6700001,3,94.4000015,3,6.42999983,3,2.29200006,3,12.1199999,
628,2019,215,1330,30.2299995,3,30.2600002,18.6399994,3,99.8000031,3,6.78999996,3,2.2579999,3,10.3900003,
628,2019,215,1400,30.4799995,3,30.25,18.6299992,3,100.900002,3,6.82999992,3,2.24099994,3,11.71,
628,2019,215,1430,30.6000004,3,30.2600002,18.6399994,3,100,3,6.75,3,2.2190001,3,10.2799997,
