stationid,yeardata,jday,timedata,watertemp1_avg,watertemp1Flag,sp_cond1_avg,salinity1_avg,salinity1Flag,dis_oxy1_avg,dis_oxy1Flag,dis_oxy2_avg,dis_oxy2Flag,depth1_avg,depth1Flag,comments
122,2019,6,1430,17.5900002,3,39.1300011,24.9799995,3,92.6999969,3,7.61000013,3,1.02499998,3,
122,2019,6,1500,17.3799992,3,46.5299988,30.2700005,3,87.5999985,3,7,3,1.03400004,3,
122,2019,6,1530,17.3500004,3,48.5600014,31.75,3,86.6999969,3,6.86999989,3,1.05200005,3,
122,2019,6,1600,17.3600006,3,48.5699997,31.75,3,80,3,6.34000015,3,1.06599998,3,
122,2019,6,1630,17.3099995,3,48.4000015,31.6299992,3,88.0999985,3,7,3,1.09300005,3,
122,2019,6,1700,17.2999992,3,47.2400017,30.7900009,3,87.3000031,3,6.96999979,3,1.11699998,3,
122,2019,6,1730,17.3299999,3,46.7200012,30.4099998,3,90.5,3,7.23999977,3,1.13699996,3,
122,2019,6,1800,17.2800007,3,46.1300011,29.9799995,3,90.6999969,3,7.26999998,3,1.17299998,3,
122,2019,6,1830,17.3999996,3,44.5099983,28.8099995,3,93,3,7.48999977,3,1.19200003,3,
122,2019,6,1900,17.3899994,3,45.9500008,29.8600006,3,87.5,3,7.01000023,3,1.22099996,3,
122,2019,6,1930,17.4099998,3,45.6800003,29.6599998,3,84.1999969,3,6.75,3,1.23899996,3,
122,2019,6,2000,17.4099998,3,45.6199989,29.6100006,3,86.5999985,3,6.94000006,3,1.25699997,3,
122,2019,6,2030,17.4300003,3,45.8699989,29.7999992,3,87.5999985,3,7.01999998,3,1.25999999,3,
122,2019,6,2100,17.4799995,3,45.5200005,29.5400009,3,89.8000031,3,7.19999981,3,1.25999999,3,
122,2019,6,2130,17.4799995,3,46.2099991,30.0400009,3,85.5,3,6.82999992,3,1.26199996,3,
122,2019,6,2200,17.4500008,3,46.25,30.0699997,3,86,3,6.88000011,3,1.27199996,3,
122,2019,6,2230,17.4899998,3,46.0999985,29.9599991,3,86.6999969,3,6.92999983,3,1.27699995,3,
122,2019,6,2300,17.4899998,3,46.25,30.0699997,3,81.9000015,3,6.53999996,3,1.28699994,3,
122,2019,6,2330,17.4599991,3,46.6100006,30.3299999,3,85.5999985,3,6.82999992,3,1.28299999,3,
122,2019,6,2400,17.4699993,3,47.5299988,31,3,80.5,3,6.38999987,3,1.26800001,3,
122,2019,7,30,17.4899998,3,48.1199989,31.4300003,3,78.9000015,3,6.25,3,1.26600003,3,
122,2019,7,100,17.5599995,3,48.4099998,31.6399994,3,80.3000031,3,6.3499999,3,1.25199997,3,
122,2019,7,130,17.5799999,3,48.3300018,31.5799999,3,86.9000015,3,6.86000013,3,1.22599995,3,
122,2019,7,200,17.1700001,3,41.3499985,26.5499992,3,88,3,7.21999979,3,1.21899998,3,
122,2019,7,230,15.4300003,3,33.4599991,21.0100002,3,84.0999985,3,7.38999987,3,1.20500004,3,
122,2019,7,300,17.3799992,3,45.25,29.3500004,3,86.3000031,3,6.94000006,3,1.18499994,3,
122,2019,7,330,16.4899998,3,34.6699982,21.8600006,3,92.0999985,3,7.88000011,3,1.18599999,3,
122,2019,7,400,16.6900005,3,35.8199997,22.6599998,3,92.1999969,3,7.82000017,3,1.15799999,3,
122,2019,7,430,17.1499996,3,42.2200012,27.1700001,3,88.5,3,7.23999977,3,1.13800001,3,
122,2019,7,500,16.6399994,3,34.0299988,21.4099998,3,91.5999985,3,7.84000015,3,1.153,3,
122,2019,7,530,16.6200008,3,32.9199982,20.6499996,3,90.3000031,3,7.76000023,3,1.14600003,3,
122,2019,7,600,16.7000008,3,33.5800018,21.1000004,3,85.4000015,3,7.30999994,3,1.13600004,3,
122,2019,7,630,16.4899998,3,31.3600006,19.5699997,3,89.6999969,3,7.78000021,3,1.12,3,
122,2019,7,700,16.5599995,3,29.1599998,18.0699997,3,91.6999969,3,8.02000046,3,1.12399995,3,
122,2019,7,730,16.4699993,3,28.8299999,17.8500004,3,91.5999985,3,8.02999973,3,1.11099994,3,
122,2019,7,800,16.3999996,3,27.7299995,17.1000004,3,91.5,3,8.06999969,3,1.09800005,3,
122,2019,7,830,16.4300003,3,26.7000008,16.4099998,3,92,3,8.14000034,3,1.10300004,3,
122,2019,7,900,16.4500008,3,25.8299999,15.8199997,3,90.3000031,3,8.02000046,3,1.08200002,3,
122,2019,7,930,16.5100002,3,25.2299995,15.4300003,3,88.6999969,3,7.88999987,3,1.08099997,3,
122,2019,7,1000,16.6000004,3,23.8199997,14.4799995,3,93.5999985,3,8.35999966,3,1.09099996,3,
122,2019,7,1030,16.6499996,3,23.6000004,14.3400002,3,93.6999969,3,8.36999989,3,1.08899999,3,
122,2019,7,1100,16.7399998,3,22.2099991,13.4300003,3,93,3,8.34000015,3,1.10599995,3,
122,2019,7,1130,16.9799995,3,20.8199997,12.5100002,3,93.4000015,3,8.38000011,3,1.10099995,3,
122,2019,7,1200,16.9300003,3,24.7900009,15.1300001,3,92.9000015,3,8.21000004,3,1.102,3,
