stationid,yeardata,jday,timedata,watertemp1_avg,watertemp1Flag,sp_cond1_avg,salinity1_avg,salinity1Flag,dis_oxy1_avg,dis_oxy1Flag,dis_oxy2_avg,dis_oxy2Flag,depth1_avg,depth1Flag,turbidity1_avg,comments
628,2019,3,1100,16.0900002,3,5.68300009,3.0999999,3,100.5,3,9.71000004,3,1.61300004,3,26.5599995,
628,2019,3,1130,16.3299999,3,8.52999973,4.76999998,3,98.9000015,3,9.42000008,3,1.61300004,3,27.8099995,
628,2019,3,1200,16.3999996,3,8.81000042,4.94000006,3,98,3,9.31000042,3,1.64300001,3,25.8199997,
628,2019,3,1230,16.3899994,3,7.91200018,4.40999985,3,98.9000015,3,9.43000031,3,1.66100001,3,21.3600006,
628,2019,3,1300,16.4300003,3,8.42000008,4.71000004,3,98.6999969,3,9.38000011,3,1.68599999,3,23.7099991,
628,2019,3,1330,16.4099998,3,8.10999966,4.53000021,3,98.0999985,3,9.34000015,3,1.78600001,3,19.7600002,
628,2019,3,1400,16.4400005,3,6.80299997,3.75,3,99.9000015,3,9.55000019,3,1.829,3,19.3500004,
628,2019,3,1430,16.3700008,3,6.24900007,3.42000008,3,99.6999969,3,9.56999969,3,1.84300005,3,20.8099995,
628,2019,3,1500,17.0400009,3,19.1200008,11.3999996,3,99.3000031,3,8.94999981,3,1.88100004,3,129.199997,
628,2019,3,1530,17.4599991,3,26.5799999,16.3299999,3,96.6999969,3,8.39000034,3,1.89600003,3,94.5,
628,2019,3,1600,17.5900002,3,31.5599995,19.7099991,3,91.9000015,3,7.80000019,3,1.94700003,3,60.9700012,
628,2019,3,1630,17.6399994,3,33.3400002,20.9400005,3,89.1999969,3,7.5,3,1.977,3,47.3600006,
628,2019,3,1700,17.6800003,3,34.2299995,21.5499992,3,88.5,3,7.40999985,3,2.00900006,3,47.9000015,
628,2019,3,1730,17.8199997,3,37.5900002,23.8899994,3,86.3000031,3,7.0999999,3,2.06500006,3,59.1899986,
628,2019,3,1800,17.9300003,3,39.5800018,25.2999992,3,84.4000015,3,6.86999989,3,2.09100008,3,55.7999992,
628,2019,3,1830,17.8999996,3,39.0200005,24.8999996,3,84.6999969,3,6.92000008,3,2.11599994,3,61.3699989,
628,2019,3,1900,17.9899998,3,41.1300011,26.3999996,3,84.6999969,3,6.8499999,3,2.08500004,3,135.199997,
628,2019,3,1930,18.0300007,3,42.0800018,27.0699997,3,84.5,3,6.80000019,3,2.13599992,3,66.8000031,
628,2019,3,2000,17.9899998,3,41.1399994,26.4099998,3,84.4000015,3,6.82000017,3,2.09200001,3,52.6199989,
628,2019,3,2030,18.0300007,3,41.7900009,26.8700008,3,85.4000015,3,6.88000011,3,2.148,3,88.5,
628,2019,3,2100,17.8299999,3,36.8800011,23.3999996,3,86.6999969,3,7.15999985,3,2.14599991,3,20.2800007,
628,2019,3,2130,17.8199997,3,36.6300011,23.2299995,3,86.9000015,3,7.17999983,3,2.1400001,3,19.3600006,
628,2019,3,2200,16.3400002,3,5.91400003,3.23000002,3,100,3,9.60999966,3,2.17700005,3,18.9899998,
628,2019,3,2230,16.4200001,3,6.98699999,3.8599999,3,98.8000031,3,9.43999958,3,2.15799999,3,22.8600006,
628,2019,3,2300,17.0799999,3,20.4099998,12.2399998,3,92.6999969,3,8.30000019,3,2.13599992,3,29.0699997,
628,2019,3,2330,17.1200008,3,24.9899998,15.2700005,3,92.4000015,3,8.11999989,3,2.11199999,3,24.3899994,
628,2019,3,2400,17.1200008,3,22.7800007,13.8000002,3,92.0999985,3,8.17000008,3,2.1730001,3,12.8800001,
628,2019,4,30,17.0499992,3,14.8400002,8.67000008,3,96.1999969,3,8.81999969,3,2.08800006,3,52.3300018,
628,2019,4,100,17.2399998,3,14.3699999,8.36999989,3,94.5,3,8.64000034,3,1.98000002,3,37.1599998,
628,2019,4,130,17.3799992,3,14.6700001,8.56000042,3,94,3,8.56000042,3,1.95099998,3,23.4599991,
628,2019,4,200,17.4400005,3,14.4700003,8.43000031,3,95,3,8.64999962,3,1.96300006,3,17.5400009,
628,2019,4,230,17.4500008,3,14.3999996,8.39000034,3,95.8000031,3,8.72000027,3,1.98300004,3,15.2200003,
628,2019,4,300,17.4300003,3,14.6300001,8.52999973,3,95,3,8.64000034,3,1.93900001,3,13.6400003,
628,2019,4,330,17.4099998,3,14.6199999,8.52999973,3,94.9000015,3,8.64000034,3,1.93099999,3,13.46,
628,2019,4,400,17.3999996,3,14.6499996,8.55000019,3,95.5999985,3,8.71000004,3,1.91199994,3,20.3199997,
628,2019,4,430,17.3700008,3,14.8100004,8.64999962,3,95.5999985,3,8.69999981,3,1.90699995,3,16.5699997,
628,2019,4,500,17.3099995,3,14.6499996,8.55000019,3,96.6999969,3,8.81999969,3,1.86800003,3,22.7600002,
628,2019,4,530,17.2600002,3,15.0200005,8.77999973,3,96.6999969,3,8.81999969,3,1.82799995,3,30.6399994,
628,2019,4,600,17.2099991,3,15.5,9.07999992,3,95.6999969,3,8.72000027,3,1.83599997,3,37.1100006,
628,2019,4,630,17.1399994,3,16.7600002,9.89000034,3,95.5,3,8.67000008,3,1.82799995,3,36.0299988,
628,2019,4,700,17.0599995,3,17.5200005,10.3699999,3,95.4000015,3,8.64999962,3,1.80599999,3,47.8499985,
628,2019,4,730,16.9699993,3,18.2199993,10.8199997,3,95.5,3,8.64999962,3,1.77999997,3,51.5400009,
628,2019,4,800,16.8899994,3,18.9300003,11.2799997,3,95.5999985,3,8.64999962,3,1.77100003,3,55.6699982,
628,2019,4,830,16.8199997,3,19.2000008,11.46,3,95.4000015,3,8.63000011,3,1.75699997,3,40.3800011,
628,2019,4,900,16.7600002,3,19.4400005,11.6099997,3,95.5,3,8.64999962,3,1.73500001,3,39.1800003,
628,2019,4,930,16.2999992,3,22.3500004,13.5100002,3,94.6999969,3,8.55000019,3,1.73899996,3,40.7799988,
628,2019,4,1000,16.3700008,3,21.9400005,13.25,3,94.6999969,3,8.56000042,3,1.73500001,3,29.7999992,
628,2019,4,1030,16.6000004,3,19.5499992,11.6899996,3,96.5,3,8.77000046,3,1.75300002,3,33.5999985,
628,2019,4,1100,16.5900002,3,19.4599991,11.6300001,3,97.5999985,3,8.86999989,3,1.73199999,3,53.7299995,
628,2019,4,1130,16.5799999,3,20.5799999,12.3599997,3,98.6999969,3,8.93000031,3,1.74100006,3,72.0999985,
628,2019,4,1200,16.6100006,3,21.3700008,12.8699999,3,98.5,3,8.88000011,3,1.745,3,95.6999969,
628,2019,4,1230,16.6800003,3,21.9400005,13.25,3,98.8000031,3,8.88000011,3,1.75699997,3,102.800003,
628,2019,4,1300,16.7199993,3,21.9200001,13.2299995,3,99,3,8.89000034,3,1.78600001,3,66.6999969,
628,2019,4,1330,16.7399998,3,21.7999992,13.1499996,3,100.400002,3,9.01000023,3,1.79799998,3,46.1899986,
628,2019,4,1400,16.7600002,3,21.4799995,12.9399996,3,100.599998,3,9.03999996,3,1.78499997,3,38.0099983,
628,2019,4,1430,16.7800007,3,21.0900002,12.6899996,3,101.199997,3,9.10000038,3,1.80499995,3,32.0699997,
628,2019,4,1500,16.7900009,3,21.0900002,12.6899996,3,101.699997,3,9.14000034,3,1.80499995,3,35.3199997,
628,2019,4,1530,16.7999992,3,21.2800007,12.8100004,3,101.300003,3,9.10000038,3,1.82700002,3,35.1800003,
628,2019,4,1600,16.7800007,3,21.4899998,12.9499998,3,101.699997,3,9.13000011,3,1.85399997,3,27.8500004,
628,2019,4,1630,16.7999992,3,21.7399998,13.1099997,3,101.5,3,9.10000038,3,1.875,3,18.8600006,
628,2019,4,1700,16.7399998,3,22.2099991,13.4200001,3,101.900002,3,9.13000011,3,1.91199994,3,34.8300018,
628,2019,4,1730,16.6599998,3,23.3199997,14.1599998,3,102.400002,3,9.14999962,3,1.91100001,3,52.5499992,
628,2019,4,1800,16.5300007,3,24.2199993,14.75,3,102.599998,3,9.15999985,3,1.96500003,3,36.2200012,
628,2019,4,1830,16.4099998,3,24.9099998,15.21,3,102.199997,3,9.11999989,3,2.01600003,3,38.3800011,
628,2019,4,1900,16.2700005,3,25.3199997,15.4799995,3,101.900002,3,9.10000038,3,2.01799989,3,24.8799992,
628,2019,4,1930,16.1700001,3,25.2399998,15.4300003,3,101.5,3,9.09000015,3,2.01600003,3,21.3600006,
628,2019,4,2000,16.1200008,3,25.2000008,15.3999996,3,102.099998,3,9.14999962,3,2.00500011,3,15.8199997,
628,2019,4,2030,16.1000004,3,25.0400009,15.3000002,3,102,3,9.15999985,3,2.0079999,3,17.6599998,
628,2019,4,2100,16.0200005,3,25.1299992,15.3599997,3,101.400002,3,9.10999966,3,1.98300004,3,17.3600006,
628,2019,4,2130,15.8999996,3,25.4599991,15.5699997,3,100.699997,3,9.06000042,3,1.97000003,3,18.5300007,
628,2019,4,2200,15.7700005,3,25.9899998,15.9300003,3,100.400002,3,9.03999996,3,1.95299995,3,21.6399994,
628,2019,4,2230,15.6599998,3,26.4099998,16.2099991,3,100,3,9,3,1.94700003,3,22.1200008,
628,2019,4,2300,15.5100002,3,26.9500008,16.5699997,3,99.5,3,8.97000027,3,1.92799997,3,21.6700001,
628,2019,4,2330,15.4399996,3,27.3700008,16.8600006,3,99,3,8.92000008,3,1.903,3,24.6599998,
628,2019,4,2400,15.3900003,3,27.6900005,17.0699997,3,98.6999969,3,8.89000034,3,1.87,3,27.2800007,
628,2019,5,30,15.3000002,3,27.7399998,17.1100006,3,98.0999985,3,8.85000038,3,1.85300004,3,19.7199993,
628,2019,5,100,15.2799997,3,27.7900009,17.1399994,3,97.8000031,3,8.82999992,3,1.81900001,3,18.7800007,
628,2019,5,130,15.21,3,27.8500004,17.1800003,3,97.6999969,3,8.82999992,3,1.77699995,3,18.8299999,
628,2019,5,200,15.1499996,3,27.8600006,17.1900005,3,97.5999985,3,8.82999992,3,1.74699998,3,18.7199993,
628,2019,5,230,14.9799995,3,27.6399994,17.0400009,3,98,3,8.89999962,3,1.70799994,3,19.5300007,
628,2019,5,300,14.6599998,3,25.6299992,15.6899996,3,98.8000031,3,9.11999989,3,1.65100002,3,41.8600006,
628,2019,5,330,14.6700001,3,24.6700001,15.04,3,98.6999969,3,9.14000034,3,1.62,3,58.3300018,
628,2019,5,400,14.8400002,3,22.6800003,13.7299995,3,98.5999985,3,9.17000008,3,1.62399995,3,34.2400017,
628,2019,5,430,14.8500004,3,22.0499992,13.3199997,3,98.1999969,3,9.14999962,3,1.58399999,3,33.1100006,
628,2019,5,500,14.79,3,21.8199997,13.1700001,3,98.0999985,3,9.15999985,3,1.57000005,3,39.4300003,
628,2019,5,530,14.5900002,3,22.1900005,13.4099998,3,98.0999985,3,9.18999958,3,1.53600001,3,32.8100014,
628,2019,5,600,14.6099997,3,18.8400002,11.2200003,3,98.0999985,3,9.31000042,3,1.52699995,3,26.2600002,
628,2019,5,630,14.54,3,14.0100002,8.14000034,3,97.5999985,3,9.44999981,3,1.52100003,3,21.2999992,
628,2019,5,700,14.4399996,3,13.71,7.94999981,3,97.6999969,3,9.48999977,3,1.50600004,3,20.8299999,
628,2019,5,730,14.3800001,3,12.3000002,7.07999992,3,97.4000015,3,9.52999973,3,1.49199998,3,23.0900002,
628,2019,5,800,14.3199997,3,11.75,6.73999977,3,97.8000031,3,9.60000038,3,1.50699997,3,21.5599995,
628,2019,5,830,14.3100004,3,11.2600002,6.44000006,3,97.6999969,3,9.60999966,3,1.48699999,3,22.6599998,
628,2019,5,900,14.3199997,3,10.8599997,6.19000006,3,98.0999985,3,9.65999985,3,1.49199998,3,21.3500004,
628,2019,5,930,14.3299999,3,10.7600002,6.13000011,3,98.5,3,9.71000004,3,1.49399996,3,21.1000004,
628,2019,5,1000,14.3999996,3,10.3500004,5.88000011,3,98.5999985,3,9.72000027,3,1.50100005,3,20.7999992,
628,2019,5,1030,14.54,3,9.60000038,5.42000008,3,98.8000031,3,9.72999954,3,1.50999999,3,21.6100006,
628,2019,5,1100,14.7399998,3,8.64000034,4.84000015,3,98.0999985,3,9.65999985,3,1.52699995,3,23.0900002,
628,2019,5,1130,15,3,7.96799994,4.44000006,3,97.4000015,3,9.56000042,3,1.53299999,3,24.0599995,
628,2019,5,1200,15.2299995,3,7.79400015,4.34000015,3,96.3000031,3,9.40999985,3,1.55599999,3,23.9599991,
